BetweenWithin,paramHeader,param,est.unstand,se.unstand,pval.unstand,est.stand,se.stand,pval.stand
Between,PCC.WITH,PAG,-0.002,0.002,  0.430,-0.194,0.241,  0.421
Between,MPFC.WITH,PHC,-0.001,0.001,  0.083,-0.318,0.163,  0.051
Between,MPFC.WITH,RSC,0,0.001,  0.964,0.01,0.23,  0.964
Between,MPFC.WITH,AAG,0.001,0.001,  0.317,0.145,0.135,  0.281
Between,MPFC.WITH,PAG,-0.001,0.001,  0.361,-0.206,0.215,  0.339
Between,PHC.WITH,RSC,0,0.001,  0.977,0.005,0.166,  0.977
Between,PHC.WITH,AAG,-0.006,0.003,  0.024,-0.548,0.143,< 0.001
Between,PHC.WITH,PAG,0.001,0.001,  0.218,0.135,0.096,  0.157
Between,RSC.WITH,AAG,0.003,0.002,  0.145,0.272,0.164,  0.097
Between,RSC.WITH,PAG,-0.001,0.001,  0.629,-0.081,0.167,  0.629
Between,AAG.WITH,PAG,0.003,0.002,  0.297,0.143,0.125,  0.253
Between,Means,PHIPP,0.077,0.005,< 0.001,3.358,0.781,< 0.001
Between,Means,PREC,0.113,0.016,< 0.001,1.501,0.263,< 0.001
Between,Means,PCC,0.143,0.023,< 0.001,1.735,0.277,< 0.001
Between,Means,MPFC,0.134,0.012,< 0.001,2.544,0.42,< 0.001
Between,Means,PHC,-0.029,0.019,  0.123,-0.409,0.243,  0.092
Between,Means,RSC,0.048,0.014,< 0.001,0.758,0.196,< 0.001
Between,Means,AAG,0.189,0.03,< 0.001,1.251,0.259,< 0.001
Between,Means,PAG,-0.008,0.029,  0.773,-0.07,0.238,  0.768
Between,Thresholds,SCECORR$1,-0.689,0.133,< 0.001,-0.503,0.107,< 0.001
Between,Thresholds,COLCORR$1,-0.717,0.096,< 0.001,-0.633,0.077,< 0.001
Between,Thresholds,EMOCORR$1,-0.841,0.097,< 0.001,-0.738,0.091,< 0.001
Between,Variances,PHIPP,0.001,0,  0.030,1,0,999.000
Between,Variances,PREC,0.006,0.002,  0.001,1,0,999.000
Between,Variances,PCC,0.007,0.002,  0.002,1,0,999.000
Between,Variances,MPFC,0.003,0.001,  0.001,1,0,999.000
Between,Variances,PHC,0.005,0.001,< 0.001,1,0,999.000
Between,Variances,RSC,0.004,0.001,< 0.001,1,0,999.000
Between,Variances,AAG,0.023,0.008,  0.005,1,0,999.000
Between,Variances,PAG,0.014,0.004,< 0.001,1,0,999.000
Between,Variances,MEMQB,0.417,0.239,  0.082,1,0,999.000
Between,Residual.Variances,SCECORR,0.066,0.126,  0.602,0.136,0.224,  0.542
Between,Residual.Variances,COLCORR,0.064,0.068,  0.350,0.318,0.257,  0.216
Between,Residual.Variances,EMOCORR,0.033,0.057,  0.564,0.19,0.291,  0.514
