BetweenWithin,paramHeader,param,est.unstand,se.unstand,pval.unstand,est.stand,se.stand,pval.stand
Between,Means,PHIPP,0.04,0.005,< 0.001,1.667,0.559,  0.003
Between,Means,PREC,0.093,0.021,< 0.001,1.01,0.198,< 0.001
Between,Means,PCC,0.114,0.017,< 0.001,1.456,0.376,< 0.001
Between,Means,MPFC,0.072,0.012,< 0.001,1.316,0.286,< 0.001
Between,Means,PHC,-0.074,0.023,  0.001,-0.882,0.252,< 0.001
Between,Means,RSC,0.008,0.013,  0.509,0.145,0.212,  0.494
Between,Means,AAG,0.126,0.027,< 0.001,0.976,0.281,  0.001
Between,Means,PAG,-0.07,0.03,  0.020,-0.54,0.204,  0.008
Between,Thresholds,SCECORR$1,-0.744,0.153,< 0.001,-0.503,0.107,< 0.001
Between,Thresholds,COLCORR$1,-0.708,0.09,< 0.001,-0.633,0.077,< 0.001
Between,Thresholds,EMOCORR$1,-0.825,0.097,< 0.001,-0.738,0.091,< 0.001
Between,Variances,PHIPP,0.001,0,  0.099,1,0,999.000
Between,Variances,PREC,0.008,0.002,< 0.001,1,0,999.000
Between,Variances,PCC,0.006,0.003,  0.016,1,0,999.000
Between,Variances,MPFC,0.003,0.001,  0.002,1,0,999.000
Between,Variances,PHC,0.007,0.002,  0.001,1,0,999.000
Between,Variances,RSC,0.003,0.001,< 0.001,1,0,999.000
Between,Variances,AAG,0.017,0.005,  0.002,1,0,999.000
Between,Variances,PAG,0.017,0.006,  0.005,1,0,999.000
Between,Variances,MEMQB,0.568,0.298,  0.057,1,0,999.000
Between,Residual.Variances,SCECORR,-0.006,0.159,  0.972,-0.01,999,999.000
Between,Residual.Variances,COLCORR,0.073,0.07,  0.297,0.376,0.261,  0.150
Between,Residual.Variances,EMOCORR,0.049,0.058,  0.399,0.29,0.279,  0.299
